Nome do jogador -> , E-mail -> 
Nome do jogador -> , E-mail -> 
Nome do jogador -> asd, E-mail -> asd
Nome do jogador -> , E-mail -> 
Nome do jogador -> , E-mail -> 
Nome do jogador -> , E-mail -> 
Nome do jogador -> , E-mail -> 
Nome do jogador -> , E-mail -> 
Nome do jogador -> , E-mail -> 
Nome do jogador -> , E-mail -> 
Nome do jogador -> , E-mail -> 
Nome do jogador -> , E-mail -> 
Nome do jogador -> , E-mail -> 
Nome do jogador -> , E-mail -> 
Nome do jogador -> , E-mail -> 
Nome do jogador -> , E-mail -> 
Nome do jogador -> , E-mail -> 
Nome do jogador -> , E-mail -> 
Nome do jogador -> , E-mail -> 
Nome do jogador -> , E-mail -> 
Nome do jogador -> , E-mail -> 
Nome do jogador -> , E-mail -> 
Nome do jogador -> aliston, E-mail -> aliston@imed.com.br
